2014-11-20 13:14:02,2014-11-20 13:14:22,3124,20,156
2014-11-20 13:44:01,2014-11-20 13:44:22,3124,21,148
2014-11-20 14:14:01,2014-11-20 14:14:22,3124,21,148
2014-11-20 14:44:01,2014-11-20 14:44:23,3124,22,142
2014-11-20 18:14:01,2014-11-20 18:14:41,3125,40,78
2014-11-20 18:44:01,2014-11-20 18:44:24,3125,23,135
2014-11-20 19:14:01,2014-11-20 19:14:57,3125,56,55
2014-11-20 19:44:02,2014-11-20 19:44:27,3126,25,125
2014-11-20 20:14:01,2014-11-20 20:14:25,3126,24,130
2014-11-20 20:44:01,2014-11-20 20:44:25,3126,24,130
2014-11-20 21:14:01,2014-11-20 21:14:28,3126,27,115
2014-11-20 21:44:01,2014-11-20 21:45:56,3126,115,27
2014-11-20 22:14:01,2014-11-20 22:14:23,3126,22,142
2014-11-20 22:44:01,2014-11-20 22:44:23,3127,22,142
2014-11-20 23:44:01,2014-11-20 23:44:28,3127,27,115
2014-11-21 00:14:02,2014-11-21 00:14:24,3127,22,142
2014-11-21 00:44:01,2014-11-21 00:44:22,3127,21,148
2014-11-21 01:14:01,2014-11-21 01:14:22,3127,21,148
2014-11-21 01:44:01,2014-11-21 01:44:22,3127,21,148
2014-11-21 02:14:01,2014-11-21 02:14:22,3127,21,148
2014-11-21 02:44:01,2014-11-21 02:44:22,3127,21,148
2014-11-21 03:44:01,2014-11-21 03:44:22,3127,21,148
2014-11-21 04:14:01,2014-11-21 04:14:23,3127,22,142
2014-11-21 04:44:01,2014-11-21 04:44:23,3128,22,142
2014-11-21 05:14:01,2014-11-21 05:14:23,3128,22,142
2014-11-21 05:44:01,2014-11-21 05:44:23,3128,22,142
2014-11-21 06:14:01,2014-11-21 06:14:23,3128,22,142
2014-11-21 06:44:01,2014-11-21 06:44:24,3128,23,136
2014-11-21 07:14:02,2014-11-21 07:14:24,3128,22,142
2014-11-21 07:44:01,2014-11-21 07:44:23,3128,22,142
2014-11-21 08:14:01,2014-11-21 08:14:24,3128,23,136
2014-11-21 09:14:01,2014-11-21 09:14:29,3130,28,111
2014-11-21 09:44:01,2014-11-21 09:44:26,3130,25,125
2014-11-21 10:14:01,2014-11-21 10:14:22,3130,21,149
2014-11-21 10:44:01,2014-11-21 10:44:23,3130,22,142
2014-11-21 11:14:01,2014-11-21 11:14:23,3131,22,142
2014-11-21 11:44:01,2014-11-21 11:44:23,3132,22,142
2014-11-21 12:14:01,2014-11-21 12:14:23,3132,22,142
2014-11-21 12:44:01,2014-11-21 12:44:23,3132,22,142
2014-11-21 13:14:01,2014-11-21 13:14:24,3132,23,136
2014-11-21 13:44:01,2014-11-21 13:44:23,3132,22,142
2014-11-21 16:14:01,2014-11-21 16:14:44,3135,43,72
2014-11-21 16:44:01,2014-11-21 16:44:22,3135,21,149
2014-11-21 17:14:02,2014-11-21 17:14:23,3136,21,149
2014-11-21 18:17:01,2014-11-21 18:17:23,3137,22,142
2014-11-21 20:17:01,2014-11-21 20:17:26,3137,25,125
2014-11-21 22:17:02,2014-11-21 22:17:24,3138,22,142
2014-11-22 00:17:01,2014-11-22 00:17:23,3138,22,142
2014-11-22 02:18:02,2014-11-22 02:18:25,3138,23,136
2014-11-22 04:17:02,2014-11-22 04:17:23,3138,21,149
2014-11-22 08:17:01,2014-11-22 08:17:39,3139,38,82
2014-11-22 10:17:01,2014-11-22 10:17:36,3140,35,89
2014-11-22 12:17:01,2014-11-22 12:18:34,3140,93,33
2014-11-22 14:17:02,2014-11-22 14:17:31,3140,29,108
2014-11-22 20:18:01,2014-11-22 20:19:16,3142,75,41
2014-11-22 22:17:02,2014-11-22 22:17:36,3143,34,92
2014-11-23 00:17:01,2014-11-23 00:18:19,3142,78,40
2014-11-23 02:18:01,2014-11-23 02:18:26,3142,25,125
2014-11-23 04:17:01,2014-11-23 04:17:25,3142,24,130
2014-11-23 08:17:02,2014-11-23 08:17:38,3142,36,87
2014-11-23 10:17:01,2014-11-23 10:18:21,3142,80,39
2014-11-23 12:17:01,2014-11-23 12:18:25,3142,84,37
2014-11-23 14:17:01,2014-11-23 14:18:27,3142,86,36
2014-11-23 20:18:02,2014-11-23 20:19:27,3145,85,37
2014-11-23 22:17:01,2014-11-23 22:17:36,3148,35,89
2014-11-24 00:17:01,2014-11-24 00:18:28,3148,87,36
2014-11-24 02:17:01,2014-11-24 02:18:09,3278,68,48
2014-11-24 02:19:01,2014-11-24 02:19:19,3149,18,174
2014-11-24 08:17:02,2014-11-24 08:17:44,3150,42,75
2014-11-24 10:17:01,2014-11-24 10:18:20,3150,79,39
2014-11-24 12:17:01,2014-11-24 12:18:29,3153,88,35
2014-11-24 14:17:01,2014-11-24 14:18:17,3153,76,41
2014-11-24 20:17:02,2014-11-24 20:18:33,3154,91,34
2014-11-24 22:17:01,2014-11-24 22:18:51,3154,110,28
2014-11-25 00:17:01,2014-11-25 00:18:25,3155,84,37
2014-11-25 02:18:01,2014-11-25 02:18:27,3155,26,121
2014-11-25 08:17:02,2014-11-25 08:18:15,3155,73,43
2014-11-25 10:17:01,2014-11-25 10:18:25,3155,84,37
2014-11-25 12:17:02,2014-11-25 12:18:33,3157,91,34
